?label	?subset	?definition	?URI
"apical meristem"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A maximal portion of meristem tissue (PO:0009013) located at a shoot apex (PO:0000037) or root tip (PO:0000025)."	"http://purl.obolibrary.org/obo/PO_0020144"
"snow cover"	"envoPolar"	"An area density which inheres in snow distributed over an area of a landmass or other substrate."	"http://purl.obolibrary.org/obo/ENVO_03400003"
"ice pellet"	"envoPolar"	"An ice mass which is 1) transparent or translucent, 2) rounded, spherically, or cylindrically shaped, and 3) less than 5 milimetres in diameter."	"http://purl.obolibrary.org/obo/ENVO_03400005"
"glacier wind"	"envoPolar"	"A drainage wind which flows along the icy surface of a glacier."	"http://purl.obolibrary.org/obo/ENVO_01001746"
"minor planet"	"envoAstro"	"A minor planet is an astronomical object in direct orbit around the Sun that is neither a planet nor exclusively classified as a comet. Minor planets can be dwarf planets, asteroids, trojans, centaurs, Kuiper belt objects, and other trans-Neptunian objects."	"http://purl.obolibrary.org/obo/ENVO_01000809"
"polynya"	"envoPolar"	"A sea surface layer which is 1) not covered by ice and 2) laterally surrounded by either pack ice or land and pack ice."	"http://purl.obolibrary.org/obo/ENVO_00000484"
"obsolete freshwater habitat"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A habitat that is in or on a body of water containing low concentrations of dissolved salts and other total dissolved solids (<0.5 grams dissolved salts per litre)."	"http://purl.obolibrary.org/obo/ENVO_00002037"
"earthquake"	"environmental_hazards"	"An earthquake is a process during which energy is released in an astronomical body's crust, causing the displacement of crustal parts and the generation of seismic waves."	"http://purl.obolibrary.org/obo/ENVO_01000677"
"estuarine tidal riverine coastal lower water column"	"envoMarine"	"A layer of fresh estuarine water which extends from an estuarine pycnocline or mid-depth to the estuarine bed and from the land-water interface to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001325"
"temperature of sea surface"	"envoEOVs"	"A water temperature which inheres in water close to the surface of an ocean or sea."	"http://purl.obolibrary.org/obo/ENVO_04000002"
"particle of snow"	"envoCryo"	"A particle which is 1) primarily compposed of water ice, 2) on the order of 1 milimeter or less, 3) has a white and opaque appearance, and 4) is formed as a result of water droplets freezing during precipitation."	"http://purl.obolibrary.org/obo/ENVO_03000138"
"mesoplanet"	"envoAstro"	"A planet which is smaller than Mercury but larger than Ceres."	"http://purl.obolibrary.org/obo/ENVO_01001152"
"cirrus castellanus cloud"	"envoAtmo"	"A cirrus cloud which 1) has linearly arranged cumuliform protuberances which resemble crenellated turrets or towers, some of which are taller than they are wide in some portion of their upper parts, 2) possess a lower region or base which connects these protuberances."	"http://purl.obolibrary.org/obo/ENVO_01001425"
"geographic feature"	"envoPolar"	"An astrononmical body part which delimited by physical discontinuities with its surroundings."	"http://purl.obolibrary.org/obo/ENVO_00000000"
"waste water"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"Water that has been adversely affected in quality by anthropogenic influence."	"http://purl.obolibrary.org/obo/ENVO_00002001"
"avalanche"	"envoPolar"	"A mass wasting flow during which snow rapidly flows down a sloping surface."	"http://purl.obolibrary.org/obo/ENVO_01000691"
"erosionally enriched ice"	"envoPolar"	"Water ice which contains material liberated during an erosion process."	"http://purl.obolibrary.org/obo/ENVO_03000025"
"estuarine tidal riverine coastal pycnocline"	"envoMarine"	"An estuarine coastal pycnocline which is composed primarily of fresh tidal water."	"http://purl.obolibrary.org/obo/ENVO_01001324"
"particle radiation"	"envoAstro"	"A radiation process during which energy is transmitted or emitted by means of fast-moving subatomic particles."	"http://purl.obolibrary.org/obo/ENVO_01001024"
"shoot axis"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A plant axis (PO:0025004) that is part of a shoot system (PO:0009006)."	"http://purl.obolibrary.org/obo/PO_0025029"
"water ice crystal"	"envoPolar"	"A crystal which is primarily composed of water ice."	"http://purl.obolibrary.org/obo/ENVO_01000846"
"estuarine open water pycnocline"	"envoCmecs"	"A pycnocline which is part of an estuarine water body, spanning from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001323"
"area of developed space with low usage intensity"	"nlcd2011"	"An area of a planet's surface which is primarily covered by cultivated or anthropically maintained vegetation and by constructed or manufactured objects and materials covering up to approximately half its extent. Such areas are used for low intensity purposes such as accommodating collections of single-family residential units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000884"
"soot"	"envoPolar"	"Particulate environmental material which is composed primarily of carbon particles formed through the incomplete combustion of hydrocarbons."	"http://purl.obolibrary.org/obo/ENVO_03000021"
"iceberg"	"envoPolar"	"An ice mass which has broken away from a larger ice mass on land, such as a glacier or ice shelf, and may be either afloat or aground."	"http://purl.obolibrary.org/obo/ENVO_01001546"
"root system"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A collective plant organ structure (PO:0025007) that produces root meristems (PO:0006085), the plant structures (PO:0009011) that arise from them and the parts thereof."	"http://purl.obolibrary.org/obo/PO_0025025"
"obsolete marine habitat"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A habitat that is in or on a sea or ocean containing high concentrations of dissolved salts and other total dissolved solids (typically >35 grams dissolved salts per litre)."	"http://purl.obolibrary.org/obo/ENVO_00000569"
"lava flow process"	"environmental_hazards"	"A process in which a volume of lava emitted during an effusive eruption moves along a solid surface."	"http://purl.obolibrary.org/obo/ENVO_01000730"
"biotic carbon sequestration"	"envoNceas"	"A carbon sequestration process during which atmospheric carbon dioxide is captured and stored by biological processes."	"http://purl.obolibrary.org/obo/ENVO_04000016"
"deep marine sediment"	"envoPolar"	"Sediment that accumulates in the flat or very gently sloping areas of the deep ocean basin floor. The three main types of deep marine sediment, also known as pelagic sediment, are siliceous oozes, calcareous oozes, and red clays."	"http://purl.obolibrary.org/obo/ENVO_00002113"
"sea ice variability"	"envoMarine"	"A variability quality which inheres in sea ice, particularly in its concentration, area and extent, type, motion, deformation, age, thickness, and volume."	"http://purl.obolibrary.org/obo/ENVO_01001375"
"manufactured plastisphere"	"envoPlastics"	"A plastisphere which is composed primarily of manufactured plastic."	"http://purl.obolibrary.org/obo/ENVO_06105110"
"phyllome"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A lateral plant organ (PO:0009008) produced by a shoot apical meristem (PO:0020148)."	"http://purl.obolibrary.org/obo/PO_0006001"
"ice gain"	"envoPolar"	"A material accumulation process during which the mass of an existing ice mass increases."	"http://purl.obolibrary.org/obo/ENVO_03000011"
"silvagenitus cloud"	"envoAtmo"	"A cloud which develop locally over forests as a result of increased humidity due to evaporation and evapotranspiration from the tree canopy."	"http://purl.obolibrary.org/obo/ENVO_01001417"
"sea surface layer"	"envoMarine"	"A surface layer which is part of an ocean or sea."	"http://purl.obolibrary.org/obo/ENVO_01001581"
"ecoregion"	"envoPolar"	"A large unit of land or water containing a geographically distinct assemblage of species, natural communities, and environmental conditions."	"http://purl.obolibrary.org/obo/ENVO_01000276"
"marine mud"	"envoPolar"	"Mud which is part of a marine ecosystem."	"http://purl.obolibrary.org/obo/ENVO_00005795"
"radiation"	"envoAstro"	"A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium."	"http://purl.obolibrary.org/obo/ENVO_01001023"
"alpine"	"envoPolar"	"An altitudinal condition which inheres in a bearer by virtue of the bearer having a monthly mean temperature is less than 10 degrees Celsius and being located at altitudes above the tree line and below the snowline."	"http://purl.obolibrary.org/obo/ENVO_01000340"
"cryosol"	"envoPolar"	"Cryosols comprise mineral soils formed in a permafrost environment. Where water is present, it occurs primarily in the form of ice. Cryogenic processes are the dominant soil-forming processes."	"http://purl.obolibrary.org/obo/ENVO_00002236"
"flood"	"environmental_hazards"	"An unusual accumulation of water above the ground caused by high tide, heavy rain, melting snow or rapid runoff from paved areas."	"http://purl.obolibrary.org/obo/ENVO_01000710"
"obsolete aquatic habitat"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A habitat that is in or on water."	"http://purl.obolibrary.org/obo/ENVO_00000144"
"area of scrub"	"nlcd2011"	"An area of a planet's surface which is primarily covered by a shrubs, young trees, or stunted trees.. The surfaces of this area are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000869"
"slush ice layer"	"envoPolar"	"A layer which consists of slush ice."	"http://purl.obolibrary.org/obo/ENVO_03000077"
"concentration of carbon dioxide in seawater"	"envoNceas"	"The concentration of carbon dioxide when measured in seawater."	"http://purl.obolibrary.org/obo/ENVO_04000006"
"dust"	"envoPolar"	"Particulate environmental material with diameters less than 500 micrometers."	"http://purl.obolibrary.org/obo/ENVO_00002008"
"portion of plant tissue"	"http://purl.obolibrary.org/obo/po#reference"	"A plant structure (PO:0009011) that consists predominantly of similarly specialized plant cells (PO:0009002) of one or more types."	"http://purl.obolibrary.org/obo/PO_0009007"
"hanging valley"	"envoPolar"	"A tributary valley with the floor at a higher relief than the main channel into which it flows. They are most commonly associated with U-shaped valleys when a tributary glacier flows into a glacier of larger volume."	"http://purl.obolibrary.org/obo/ENVO_00000184"
"altocumulus cloud"	"envoAtmo"	"A cloud which 1) has been shaped into laminae, rounded masses or rolls, 2) is exclusively composed of water droplets, 3) is located in the middle level of the atmosphere (middle étage)."	"http://purl.obolibrary.org/obo/ENVO_01001409"
"hot Jupiter"	"envoAstro"	"A giant gas planet which has a jovian-scale mass (0.36–11.8 Jupiter masses), a short orbital period (1.3–111 Earth days), and which is close to the star it orbits, resulting in extreme and exotic atmospheric properties."	"http://purl.obolibrary.org/obo/ENVO_01001131"
