?label	?exact	?broad	?narrow	?related	?subset	?uri
"concentration of urea in liquid water"	"liquid water urea concentration"					"http://purl.obolibrary.org/obo/ENVO_3200059"
"concentration of violaxanthin in liquid water"	"liquid water violaxanthin concentration"					"http://purl.obolibrary.org/obo/ENVO_3100028"
"concentration of yttrium in lake water"	"lake water yttrium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200020"
"concentration of yttrium in snow"	"snow yttrium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200058"
"concentration of yttrium in water ice"	"water ice yttrium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200039"
"concentration of zeaxanthin in liquid water"	"liquid water zeaxanthin concentration"					"http://purl.obolibrary.org/obo/ENVO_3100029"
"concrete"						"http://purl.obolibrary.org/obo/ENVO_01000458"
"concrete building floor"		"concrete floor"		"cement building floor"		"http://purl.obolibrary.org/obo/ENVO_01000489"
"concrete building floor"		"concrete floor"		"cement floor"		"http://purl.obolibrary.org/obo/ENVO_01000489"
"concrete exterior wall"		"concrete wall"				"http://purl.obolibrary.org/obo/ENVO_01000506"
"concrete masonry unit"						"http://purl.obolibrary.org/obo/ENVO_01000456"
"concrete road"						"http://purl.obolibrary.org/obo/ENVO_01001278"
"condensation process"						"http://purl.obolibrary.org/obo/ENVO_01000724"
"conductivity of soil"	"soil conductivity"					"http://purl.obolibrary.org/obo/ENVO_09200016"
